neighborhood,year,NBHD_ID,total_pop,white_nonhispanic,black_nonhispanic,hispanic_latino,real_median_household_income,real_median_gross_rent,real_median_home_value,boundary_vintage
Athmar Park,2011,1,8343.173767046525,1707.2218821126617,7.554800992954588,6036.374263893968,52263.41330491756,1387.5135574708534,204832.36587491608,2010_tracts
Auraria,2011,2,359.2471623902618,171.17834338036235,0.9982819581542186,108.79990572450485,138726.7320977672,2069.809267009198,61392.28739839908,2010_tracts
Baker,2011,3,5242.0271506614545,2607.6188891024235,127.75768264180478,2393.5045909545474,60992.25721777418,913.8609189077088,338431.8851149169,2010_tracts
Barnum,2011,4,5625.566956042186,978.164356919064,233.85392121233258,4249.339799481345,42253.188920404355,1122.088185618759,198476.24124560488,2010_tracts
Barnum West,2011,5,5422.451961986456,1226.605548958765,49.98187946431424,3964.101197457147,58276.6702347602,1449.1180617794116,197754.19158606677,2010_tracts
Bear Valley,2011,6,9421.757478712294,4519.558716712399,9.019454475881638,4149.827961683223,63716.89748471552,1136.5875744675923,308936.3887418942,2010_tracts
Belcaro,2011,7,4246.287319774994,3878.8201960621227,0.71265242544326,174.41896230678338,192770.41318379735,2251.7349421553126,865471.7408788258,2010_tracts
Berkeley,2011,8,8040.014442185012,5478.8941337997485,66.89251577980374,2283.131543390486,68732.8966966222,998.3310370588225,363263.5403511057,2010_tracts
Capitol Hill,2011,9,14784.435940729183,11771.452937029868,380.6821978998089,1637.1525109016895,47715.408743654465,933.5035161018179,273575.5867064615,2010_tracts
CBD,2011,10,2769.269103445778,2006.5309429447018,300.78757519268737,236.94655448307867,64737.33367366157,1163.8291926762536,338959.8855023764,2010_tracts
Chaffee Park,2011,11,3780.0306612520744,1396.797599479979,14.588184407767933,2203.8614494964336,56459.00590988933,1268.7042723399286,225087.0276493692,2010_tracts
Cheesman Park,2011,12,7802.717140355928,6578.47421560216,201.37365318422172,693.1433359379814,58414.16053024144,979.4270130504889,339869.6657293844,2010_tracts
Cherry Creek,2011,13,5154.819945398724,4634.792467114884,63.04829349064527,177.68429643520403,98640.42795011953,1427.427409474008,857218.6577198352,2010_tracts
City Park,2011,14,2461.717631009658,1791.1564188916752,238.24700368686544,290.5506673425712,81823.53197826694,967.6774801155834,444190.502102644,2010_tracts
City Park West,2011,15,4397.488357759064,2832.5524734287656,908.293364091876,526.7984071235029,45958.13095497156,782.9485816807149,385607.5137485453,2010_tracts
Civic Center,2011,16,1468.3915185293117,1050.772585500607,187.37363036079222,94.3259407375982,66689.03161475713,1245.1542422712248,469741.098004014,2010_tracts
Clayton,2011,17,4735.8120182393,641.4235560284262,1598.050725503585,2321.3824574634004,46196.37363669203,1023.9412451376859,229758.29190515232,2010_tracts
Cole,2011,18,4623.455052178385,1127.374220207092,667.1163683241248,2738.6219346677585,44529.248314908924,943.4021589404063,208104.84328191084,2010_tracts
College View - South Platte,2011,19,6098.062188080908,1577.2278773904918,188.25652102549205,3874.6658576157647,39194.48568656669,839.377879163621,220703.04130114953,2010_tracts
Congress Park,2011,20,10396.878011095625,8474.127662870302,459.4059329111333,847.6098334198666,82549.72784506196,1209.8374681767032,491999.27962915873,2010_tracts
Cory - Merrill,2011,21,3855.909717253904,3527.655175286817,5.933290361476097,166.11450160770417,114896.94443504298,2034.8311834900323,487165.8444316699,2010_tracts
Country Club,2011,22,3115.2550606888644,2471.662337825551,47.907263494978494,130.24268895335163,168917.74455778295,1409.019797403843,895905.4052396399,2010_tracts
DIA,2011,23,1191.99046106526,388.22603821486194,592.3487388646375,147.7309592664927,54231.85757281742,1367.4601292072928,190499.88917022425,2010_tracts
East Colfax,2011,24,9907.865109581928,3852.225191068753,2728.299691291657,2577.417058676343,45866.488698830806,1037.9396885782182,227591.717014474,2010_tracts
