NAME,median_household_income,median_gross_rent,median_home_value,total_pop,white_nonhispanic,black_nonhispanic,hispanic_latino,state,county,tract,year,GEOID,boundary_vintage,cpi,inflation_factor,real_median_household_income,real_median_gross_rent,real_median_home_value
"Census Tract 9.03, Denver County, Colorado",32462.0,862.0,152600.0,5615.0,976.0,234.0,4241.0,08,031,000903,2011,08031000903,2010_tracts,224.93916666666667,1.30104028126123,42234.36961030205,1121.4967224471802,198538.74692046372
"Census Tract 11.01, Denver County, Colorado",33789.0,766.0,190100.0,2814.0,642.0,190.0,1956.0,08,031,001101,2011,08031001101,2010_tracts,224.93916666666667,1.30104028126123,43960.850063535705,996.5968554461023,247327.75746775983
"Census Tract 13.01, Denver County, Colorado",38750.0,1012.0,157200.0,4484.0,787.0,2.0,3291.0,08,031,001301,2011,08031001301,2010_tracts,224.93916666666667,1.30104028126123,50415.31089887267,1316.6527646363647,204523.53221426537
"Census Tract 13.02, Denver County, Colorado",41818.0,1132.0,157300.0,3849.0,914.0,5.0,2742.0,08,031,001302,2011,08031001302,2010_tracts,224.93916666666667,1.30104028126123,54406.90248178212,1472.7775983877125,204653.63624239148
"Census Tract 14.02, Denver County, Colorado",37843.0,706.0,153000.0,3664.0,1079.0,79.0,2136.0,08,031,001402,2011,08031001402,2010_tracts,224.93916666666667,1.30104028126123,49235.267363768726,918.5344385704284,199059.1630329682
"Census Tract 17.02, Denver County, Colorado",49735.0,894.0,260300.0,2770.0,2007.0,301.0,237.0,08,031,001702,2011,08031001702,2010_tracts,224.93916666666667,1.30104028126123,64707.23838852728,1163.1300114475396,338660.78521229816
"Census Tract 18, Denver County, Colorado",36500.0,890.0,216000.0,3470.0,1648.0,102.0,1514.0,08,031,001800,2011,08031001800,2010_tracts,224.93916666666667,1.30104028126123,47487.9702660349,1157.9258503224949,281024.7007524257
"Census Tract 21, Denver County, Colorado",47010.0,703.0,260600.0,5243.0,2616.0,126.0,2389.0,08,031,002100,2011,08031002100,2010_tracts,224.93916666666667,1.30104028126123,61161.90362209042,914.6313177266447,339051.09729667654
"Census Tract 27.03, Denver County, Colorado",34830.0,687.0,188200.0,4996.0,4306.0,120.0,424.0,08,031,002703,2011,08031002703,2010_tracts,224.93916666666667,1.30104028126123,45315.23299632865,893.8146732264651,244855.7809333635
"Census Tract 28.01, Denver County, Colorado",64712.0,886.0,361000.0,2948.0,2471.0,19.0,300.0,08,031,002801,2011,08031002801,2010_tracts,224.93916666666667,1.30104028126123,84192.91868097671,1152.72168919745,469675.54153530404
