"neighborhood";"rent_growth_pct_z";"household_income_growth_pct_z";"white_nonhispanic_growth_pct_z";"listings_count";"str_density";"avg_revenue";"pct_multi_listing_hosts"
"Athmar Park";-1.1192934057500354;-0.3117087432076014;1.042382183311254;20;6.21;16446.43;22.22
"Auraria";-3.9591020768276746;-1.1981817521983138;0.0015239970482513947;1;9.35;27151.8;40.0
"Baker";1.2652829681425064;0.6839596165523476;0.7628964927792596;63;14.99;25062.8;26.97
"Barnum";0.03630624400662243;-0.26895705438371464;0.7360139495268625;6;2.9;18324.21;18.52
"Barnum West";-0.4925631949184889;-1.2256906935733416;-0.581658596568234;9;4.58;15947.08;17.65
"Bear Valley";-0.2059514915202772;-0.8826108686504903;-0.19825576797241112;5;1.28;6585.2;30.0
"Belcaro";-1.3374154135626777;-2.4376375866776243;-0.4821613852465892;6;1.78;31308.8;23.08
"Berkeley";1.7139591039265716;1.5589302298075607;-0.06395413013160767;85;17.75;29483.7;13.24
"Capitol Hill";0.5413077684697151;0.28070916036852167;-0.5599373267980888;77;7.21;21642.97;35.05
"CBD";0.5425065166369291;0.8194930786961384;-0.5350381538623665;77;20.3;15246.92;32.91
"Chaffee Park";-1.3390534460313503;-0.2600416624797881;0.03225797568018352;12;6.81;37825.42;32.26
"Cheesman Park";0.41573063198980126;-0.5166250009681641;-0.3115365875361766;51;8.28;21885.13;33.9
"Cherry Creek";0.7387316314415537;0.14503474694958118;-0.5730610031137662;15;2.84;31437.4;24.53
"City Park";0.6435915651503157;-0.8690277055428944;-0.33052575003353096;25;11.45;15188.83;26.92
"City Park West";1.0551556262128916;0.2898977224532761;-0.26685678513756067;48;12.56;29540.08;25.0
"Civic Center";1.321399193769721;0.600830104256442;-0.8343713193791232;5;1.73;19788.15;43.75
"Clayton";-0.11600772055041929;0.45860719123584437;4.13159663335708;18;9.83;24891.09;18.18
"Cole";1.2437749728028251;2.835596533673116;1.6934566068461876;46;22.77;28968.55;17.33
"College View - South Platte";1.2883201409847045;1.5181632942912127;-1.0699164201447475;3;1.11;16075.0;33.33
"Congress Park";-0.3072789621445847;-0.9108827702055574;-0.5049693190418242;43;6.79;21468.75;22.67
"Cory - Merrill";-0.8237580474423859;-0.24738840128263612;-0.455622830828347;9;4.96;25588.88;23.81
"Country Club";-0.4802095334151663;0.058827193537755215;-0.5126521308548766;4;2.69;50396.92;9.09
"DIA";-0.27209304300151455;-0.4797541103242354;-1.0868072857679538;4;2.09;19273.64;13.64
"East Colfax";0.1016130678135167;0.2779050243389912;-0.21929962086839316;15;3.14;21343.63;21.43
"Elyria Swansea";-0.4161310732129971;-0.13756818834433396;-0.9261301390208737;5;2.33;14712.23;31.25
"Five Points";0.2525044352458215;-0.2805502216599745;-0.049476768165734854;188;12.01;37385.57;25.27
"Fort Logan";-1.4895030242762257;-0.26889284979738576;-0.26898423270455885;1;0.52;23974.0;62.5
"Gateway - Green Valley Ranch";-0.3685092334060442;-0.9866397728407914;-0.6345889549758756;82;4.89;14873.39;13.43
"Globeville";0.4171447023863852;1.8391819353791437;3.289886074060471;5;2.71;31554.44;19.05
"Goldsmith";0.5714453105137107;0.8181611401709424;0.04219053169966387;2;0.67;5262.67;26.67
"Hale";-0.46421726056036333;-0.7462205377037061;-0.6670361228490301;19;7.37;12251.71;22.0
"Hampden";1.2017688984302999;-0.23906645901784981;-0.7824738982127538;8;0.74;13743.67;16.67
"Hampden South";0.3936138699161893;-0.9913241430573032;-0.6341954111786373;13;1.4;8422.97;25.93
"Harvey Park";-0.6292172267290946;-0.7290321744386193;0.23973724227139662;8;1.85;11857.91;23.81
"Harvey Park South";0.011774456341969249;-0.30607408845713485;-0.3497073697094039;1;0.28;24444.0;12.5
"Highland";1.0783723240989298;0.93766392074246;0.712252534117001;114;16.12;42905.58;19.55
"Hilltop";-0.7001042767714264;-0.6903301736348216;-0.5791298938915583;9;2.34;22305.53;33.33
"Indian Creek";-0.42640034729103854;-0.8033562776792358;-0.5204883252262567;1;0.46;6520.0;33.33
"Jefferson Park";1.1310785551416893;2.6969291972651255;1.8900527200828263;45;13.16;38941.03;13.43
"Lincoln Park";1.1675244226291306;0.7012458200766047;-0.2759914431845853;37;9.04;30694.63;27.03
"Lowry Field";-0.05434840756574571;-0.23331258833086982;-0.4708916148473644;6;1.02;6814.92;23.08
"Mar Lee";-0.34154909215035806;-0.2716474758460614;0.07913035227593955;5;1.19;16018.53;17.65
"Marston";0.1309957038061826;-1.0083881252051166;-0.3229046542731444;1;0.18;35339.8;42.86
"Montbello";-0.3908582683260308;0.12922501025555863;0.020215341794571753;3;0.32;19198.92;23.08
