neighborhood	total_listings	pct_entire_home	avg_price	avg_bedrooms	avg_price_per_bedroom	avg_estimated_annual_revenue	estimated_total_annual_revenue	total_hosts	hobbyist_hosts	small_business_hosts	commercial_hosts
Athmar Park	66	87.88	205.59	2.49	68.98	16446.43	838768.00	45	32	10	3
Auraria	5	100.00	229.72	1.80	127.62	27151.80	135759.00	5	3	1	1
Baker	116	88.79	189.34	1.69	105.31	25062.80	2355903.00	89	64	16	9
Barnum	33	96.97	197.91	2.17	88.30	18324.21	531402.00	27	22	2	3
Barnum West	18	94.44	201.42	2.50	58.19	15947.08	207312.00	17	13	3	1
Bear Valley	11	63.64	180.96	1.90	95.24	6585.20	65852.00	10	6	1	3
Belcaro	14	85.71	472.83	2.69	135.09	31308.80	313088.00	13	10	3	0
Berkeley	173	83.82	279.33	1.77	145.95	29483.70	4452039.00	136	111	12	13
Capitol Hill	137	82.48	167.46	1.48	111.03	21642.97	2640442.00	97	62	23	12
CBD	165	87.88	164.74	1.30	119.58	15246.92	2180309.00	79	52	13	14
Chaffee Park	35	91.43	467.23	2.13	178.65	37825.42	983461.00	31	19	5	7
Cheesman Park	92	92.39	1489.45	1.73	939.00	21885.13	1904006.00	59	36	13	10
Cherry Creek	67	94.03	367.30	1.88	175.38	31437.40	1666182.00	53	38	6	9
City Park	59	98.31	135.80	1.46	94.71	15188.83	805008.00	26	19	4	3
City Park West	114	77.19	240.09	1.77	147.20	29540.08	3042628.00	80	56	13	11
Civic Center	42	97.62	284.57	1.43	189.71	19788.15	791526.00	16	9	3	4
Clayton	47	95.74	201.79	1.95	100.89	24891.09	1070317.00	44	35	6	3
Cole	105	71.43	258.99	1.82	143.72	28968.55	2780981.00	75	58	14	3
College View - South Platte	12	66.67	398.34	2.22	179.25	16075.00	144675.00	9	5	2	2
Congress Park	96	88.54	188.99	1.75	101.56	21468.75	1696031.00	75	56	15	4
Cory - Merrill	21	95.24	335.60	2.76	92.58	25588.88	409422.00	21	14	4	3
Country Club	12	100.00	271.00	2.08	130.08	50396.92	604763.00	11	9	2	0
DIA	27	59.26	170.22	2.52	70.66	19273.64	424020.00	22	18	3	1
East Colfax	49	79.59	232.80	2.05	116.40	21343.63	917776.00	42	29	11	2
Elyria Swansea	25	56.00	156.88	2.35	86.29	14712.23	323669.00	16	10	3	3
Five Points	402	82.34	309.25	1.91	162.45	37385.57	13197105.00	277	194	52	31
Fort Logan	9	100.00	146.37	1.78	64.04	23974.00	167818.00	8	3	1	4
Gateway - Green Valley Ranch	196	53.57	170.58	2.79	81.01	14873.39	2677211.00	134	108	16	10
Globeville	24	79.17	236.48	2.14	90.57	31554.44	567980.00	21	16	2	3
Goldsmith	25	56.00	95.96	1.59	85.29	5262.67	126304.00	15	11	2	2
Hale	91	95.60	163.80	1.43	101.71	12251.71	943382.00	50	37	9	4
Hampden	26	73.08	368.60	2.23	152.53	13743.67	329848.00	18	12	6	0
Hampden South	32	68.75	197.27	2.35	97.02	8422.97	252689.00	27	19	5	3
Harvey Park	28	60.71	149.32	2.20	78.05	11857.91	272732.00	21	15	2	4
Harvey Park South	10	60.00	141.45	2.14	94.30	24444.00	244440.00	8	6	2	0
Highland	298	95.64	322.50	1.90	166.90	42905.58	11412883.00	179	136	28	15
Hilltop	17	76.47	377.72	2.92	168.98	22305.53	379194.00	15	10	1	4
Indian Creek	9	77.78	114.59	1.71	66.85	6520.00	45640.00	6	4	1	1
Jefferson Park	87	86.21	316.63	2.00	144.11	38941.03	2764813.00	67	55	7	5
Kennedy	1	100.00	NULL	1.00	NULL	NULL	NULL	1	1	0	0
Lincoln Park	92	91.30	239.75	2.10	100.58	30694.63	2240708.00	74	50	17	7
Lowry Field	13	76.92	215.50	3.00	86.20	6814.92	81779.00	13	10	1	2
Mar Lee	24	70.83	159.27	2.21	72.05	16018.53	304352.00	17	13	2	2
